,word_appear_set,class_word_appear_set,word_doc_set,doc_class_set,bdc
the,"[6224, 9697, 2667, 3343, 2330, 1344, 592, 1076]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[856, 1372, 223, 223, 176, 127, 65, 104]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00951954426477
of,"[5016, 6380, 1260, 1368, 939, 529, 282, 420]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1417, 1366, 212, 215, 168, 107, 60, 98]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00253996488911
to,"[3419, 5548, 1594, 2145, 1005, 612, 311, 440]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[915, 1274, 217, 216, 160, 125, 66, 97]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00813692253087
in,"[3672, 3653, 1065, 1287, 800, 386, 452, 305]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1018, 1135, 195, 216, 155, 90, 68, 89]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.022365400127
said,"[2732, 4688, 1030, 1030, 622, 420, 154, 327]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[776, 1422, 218, 217, 168, 130, 65, 101]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00704041125126
a,"[3046, 4262, 962, 1115, 633, 397, 258, 301]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[877, 1194, 214, 210, 152, 92, 49, 87]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00388794268275
and,"[3120, 4104, 934, 1221, 603, 309, 197, 350]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1142, 1199, 203, 215, 140, 95, 58, 95]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00423387274275
mln,"[7441, 1444, 375, 148, 234, 36, 142, 69]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1624, 696, 105, 62, 68, 16, 30, 25]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.211700763515
it,"[2732, 4984, 661, 581, 356, 328, 54, 148]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[756, 1345, 191, 165, 140, 113, 29, 65]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0454916466673
vs,"[9016, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1900, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
dlrs,"[4059, 1754, 291, 207, 64, 53, 288, 23]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1151, 791, 101, 87, 29, 23, 44, 12]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.217957205592
for,"[1755, 2160, 490, 512, 242, 179, 64, 150]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[833, 1017, 173, 175, 91, 58, 22, 69]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00748215620851
cts,"[5314, 60, 50, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1953, 27, 19, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.897655548829
reuter,"[2688, 1494, 251, 264, 186, 147, 76, 123]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2660, 1419, 220, 223, 174, 138, 68, 106]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0294578543263
net,"[4225, 80, 8, 1, 8, 6, 17, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1696, 67, 7, 1, 6, 4, 10, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.757461179223
loss,"[3971, 70, 14, 9, 8, 5, 0, 14]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[949, 52, 13, 8, 5, 4, 0, 9]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.776045565742
s,"[879, 1566, 408, 442, 259, 136, 80, 117]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[422, 699, 145, 172, 106, 63, 42, 54]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00672436197393
share,"[1688, 2097, 47, 14, 6, 4, 0, 9]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[771, 710, 21, 7, 5, 3, 0, 6]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.484972198225
on,"[1088, 1146, 365, 521, 249, 204, 98, 153]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[603, 610, 149, 172, 86, 80, 34, 69]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00867709643477
year,"[2588, 336, 180, 293, 66, 76, 74, 64]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1394, 238, 78, 140, 46, 32, 30, 33]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0989673107742
pct,"[947, 1272, 200, 110, 162, 465, 315, 60]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[377, 641, 86, 48, 63, 123, 39, 31]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.197007036194
compani,"[1334, 1781, 197, 54, 8, 5, 6, 40]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[714, 842, 98, 30, 5, 4, 4, 24]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.255598469165
from,"[1496, 777, 279, 285, 162, 170, 141, 83]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[748, 508, 112, 133, 87, 94, 46, 52]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0379242160677
is,"[623, 1315, 356, 418, 174, 144, 33, 84]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[393, 713, 139, 141, 69, 72, 13, 57]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0212654946562
that,"[511, 1116, 381, 523, 275, 161, 58, 89]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[259, 484, 134, 159, 78, 54, 17, 50]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0230685135597
by,"[625, 1080, 305, 320, 196, 131, 79, 94]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[343, 631, 140, 130, 83, 66, 32, 58]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.00985907263411
be,"[634, 1168, 281, 353, 152, 108, 22, 81]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[347, 574, 121, 146, 66, 41, 11, 44]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0214429697016
will,"[800, 1010, 301, 257, 157, 99, 2, 86]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[364, 557, 134, 108, 64, 48, 1, 42]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0567717307487
with,"[494, 1095, 228, 406, 206, 111, 60, 108]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[314, 630, 107, 160, 99, 55, 32, 57]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0156604378797
inc,"[1203, 1367, 42, 3, 11, 8, 3, 10]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1122, 859, 29, 2, 6, 8, 1, 7]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.390776906068
profit,"[2393, 104, 19, 2, 5, 5, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[780, 78, 15, 2, 2, 4, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.780680311313
shr,"[2500, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1419, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]",1.0
bank,"[562, 584, 70, 90, 451, 490, 187, 12]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[130, 216, 24, 33, 129, 112, 52, 5]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.2473709406
at,"[535, 819, 298, 193, 233, 150, 91, 113]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[296, 484, 125, 110, 108, 63, 34, 65]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0286994218088
billion,"[1084, 216, 87, 361, 147, 95, 376, 7]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[328, 134, 30, 98, 49, 32, 61, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.344180949076
has,"[353, 1221, 177, 204, 120, 55, 13, 72]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[246, 711, 100, 97, 63, 36, 8, 47]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0476053047659
was,"[428, 744, 304, 280, 171, 111, 77, 83]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[253, 419, 129, 130, 79, 47, 35, 47]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0207628048969
he,"[419, 598, 332, 454, 218, 82, 13, 69]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[151, 215, 107, 140, 69, 32, 5, 37]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.0615543229547
oper,"[1659, 327, 60, 8, 20, 6, 6, 27]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[584, 225, 30, 8, 16, 6, 6, 20]","[2673, 1435, 223, 225, 176, 140, 70, 107]",0.330407356309
